Contributor,July 2015
linux-m68k.org,89
wizery.com,88
wanadoo.fr,88
tkos.co.il,88
mleia.com,88
mev.co.uk,88
i2se.com,88
hauke-m.de,88
ezchip.com,88
cypress.com,88
csr.com,88
linux-mips.org,77
fastmail.fm,75
6wind.com,72
windriver.com,71
cn.fujitsu.com,71
yahoo.com.au,70
perches.com,67
yandex-team.ru,66
vanguardiasur.com.ar,66
linux-iscsi.org,66
freebox.fr,66
bobcopeland.com,66
axis.com,66
googlemail.com,62
virtuozzo.com,58
tuxdriver.com,55
roeck-us.net,55
plumgrid.com,55
piap.pl,55
gnu.org,55
debian.org,49
tycho.nsa.gov,47
stgolabs.net,44
pmeerw.net,44
osadl.org,44
nokia.com,44
microsoft.com,44
martin.sperl.org,44
m4x.org,44
lge.com,44
hitachi.com,44
herbertland.com,44
hardeman.nu,44
ens-lyon.org,44
denx.de,44
decadent.org.uk,44
de.bosch.com,44
collabora.com,44
codethink.co.uk,44
chown.ath.cx,44
ccbib.org,44
brimson.com,44
axtens.net,44
apm.com,44
163.com,44
openedev.com,43
hughsie.com,41
weidahitech.com,37
synaptics.com,34
mit.edu,34
kernel.crashing.org,34
iki.fi,34
collabora.co.uk,34
visionengravers.com,33
verge.net.au,33
systec-electronic.com,33
sang-engineering.com,33
sandisk.com,33
samba.org,33
rowland.harvard.edu,33
rab.in,33
porquet.org,33
nwl.cc,33
neratec.com,33
miraclelinux.com,33
maciej.szmigiero.name,33
lucaceresoli.net,33
list.ru,33
gmx.com,33
gmx.at,33
emulex.com,33
dev.mellanox.co.il,33
cyphar.com,33
cococorp.com,33
blackwall.org,33
alliedtelesis.co.nz,33
konsulko.com,31
koconnor.net,30
csie.org,27
kollasch.net,26
cran.org.uk,25
zapto.se,22
wvnet.at,22
ultimaker.com,22
twibright.com,22
topic.nl,22
studium.uni-erlangen.de,22
savoirfairelinux.com,22
rasmusvillemoes.dk,22
protonic.nl,22
posteo.de,22
popple.id.au,22
poochiereds.net,22
phytec.de,22
openwrt.org,22
obsidianresearch.com,22
nicira.com,22
mungewell.org,22
lunn.ch,22
kyup.com,22
ipfire.org,22
imap.cc,22
hollants.com,22
hboeck.de,22
goldelico.com,22
gmx.net,22
fromorbit.com,22
cornell.edu,22
ck-telecom.com,22
canb.auug.org.au,22
bitmath.org,22
berndporr.me.uk,22
au1.ibm.com,22
arcor.de,22
agner.ch,22
paulk.fr,21
a1ca3aef-8c08-0410-bb20-df032aa958be,20
siemens.com,18
ite.com.tw,18
gentoo.org,18
georgi-clan.de,16
compton.nu,16
bitplanet.net,15
vidarholen.net,14
ozlabs.ru,14
emc.com.tw,14
das-labor.org,14
android.com,14
yandex.ru,13
ossystems.com.br,13
lst.de,13
gateworks.com,13
wp.pl,12
rsi-elektrotechnik.de,12
quantatw.com,12
parallels.com,12
linux.com,12
lab.ntt.co.jp,12
citrix.com,12
zx2c4.com,11
z273.org.uk,11
york.ac.uk,11
yahoo.com,11
who-t.net,11
wantstofly.org,11
veo-labs.com,11
tronnes.org,11
transmode.se,11
toradex.com,11
timothyleung.co,11
sslab.ics.keio.ac.jp,11
sr71.net,11
spaceboyz.net,11
snkmail.com,11
smartplayin.com,11
silentcreek.de,11
sevenbyte.org,11
sequanux.org,11
schaufler-ca.com,11
sanford.io,11
sandeen.net,11
sakamocchi.jp,11
rustcorp.com.au,11
rohde-schwarz.com,11
rns-stearn.demon.co.uk,11
resnulli.us,11
relst.nl,11
raspberrypi.org,11
queasysnail.net,11
pwsan.com,11
ptsecurity.com,11
pid1solutions.com,11
opteya.com,11
opengridcomputing.com,11
oh.rr.com,11
newtec.eu,11
neuling.org,11
netronome.com,11
nauta.cu,11
mvista.com,11
muteddisk.com,11
mina86.com,11
melexis.com,11
lwn.net,11
lwfinger.net,11
ll.mit.edu,11
lettron.fr,11
lemonage.de,11
kleine-koenig.org,11
keithp.com,11
kapsi.fi,11
jwilk.net,11
ispras.ru,11
inspur.com,11
igel.co.jp,11
hotmail.com,11
horizon.com,11
hitachi-solutions.com,11
hiddenengine.co.uk,11
hartkopp.net,11
hadess.net,11
gumstix.com,11
garmin.com,11
femto-st.fr,11
fedoraproject.org,11
eukrea.com,11
endocode.com,11
endlessm.com,11
embeddedart.se,11
eleves.ec-nantes.fr,11
eclipso.eu,11
dius.com.au,11
distanz.ch,11
digidescorp.com,11
digi.com,11
diasemi.com,11
darbyshire-bryant.me.uk,11
cyberoam.com,11
cybernetics.com,11
ctera.com,11
cirrus.com,11
caviumnetworks.com,11
bytecmed.com,11
buggybrain.net,11
bitdefender.com,11
bigon.be,11
bell.net,11
baylibre.com,11
batbytes.com,11
atx.name,11
aksignal.cz,11
adirat.com,11
ZenIV.linux.org.uk,11
Emulex.com,11
0x539.de,11
.linaro.org,11
sgi.com,10
se-eng.com,10
raptorengineeringinc.com,10
prabhakar,10
notabs.org,10
aurel32.net,9
jsg.id.au,8
virtuousgeek.org,7
lunarg.com,7
nuvoton.com,6
gibson.dropbear.id.au,6
bizlinktech.com,6
weilnetz.de,5
sigluy.net,5
lse.epita.fr,5
libero.it,5
dev.carbon-project.org,5
apple.com,5
alterapraxis.com,5
NetBSD,5
zamaudio.com,4
turtle-solutions.eu,4
plantronics.com,4
fe80.eu,4
bhupesh.sharma,4
3adev.fr,4
yorksun,3
twiddle.net,3
reactos.org,3
math.tu-berlin.de,3
kamp.de,3
dell.com,3
boschrexroth.de,3
wunner.de,2
virtualopensystems.com,2
tdiedrich.de,2
ravellosystems.com,2
quarantainenet.nl,2
ni.com,2
linaro.com,2
ida.ing.tu-bs.de,2
andrep.de,2
zoho.com,1
yangbo.lu,1
vivier.eu,1
trendmicro.com.cn,1
tomshardware.fr,1
tencent.com,1
sysam.it,1
stuart.yoder,1
spectrumdigital.se,1
sfritsch.de,1
quicinc.com,1
proxmox.com,1
outlook.com,1
oevsv.at,1
moose.net,1
mail.ru,1
ludd.ltu.se,1
einserver.de,1
djasper,1
converseincode.com,1
codesourcery.com,1
b44839,1
asus.com,1
aribaud.net,1
aether.com,1
Priyanka.Jain,1
