Contributor,April 2015
chronox.de,55
baylibre.com,55
au1.ibm.com,55
QCA.qualcomm.com,55
cs.technion.ac.il,46
amacapital.net,46
citrix.com,45
savoirfairelinux.com,44
sandisk.com,44
rohde-schwarz.com,44
iogearbox.net,44
hurleysoftware.com,44
gernoth.net,44
fr.ibm.com,44
endlessm.com,44
emc.com.tw,44
atomide.com,44
akamai.com,44
konsulko.com,39
gmx.net,38
gateworks.com,38
coreboot.org,36
sigluy.net,35
pwsan.com,35
mentor.com,34
math.uni-bielefeld.de,34
googlemail.com,34
android.com,34
windriver.com,33
vanguardiasur.com.ar,33
ucw.cz,33
tkos.co.il,33
stressinduktion.org,33
sgi.com,33
pmeerw.net,33
plexistor.com,33
nokia.com,33
netfilter.org,33
mm-sol.com,33
m3y3r.de,33
list.ru,33
jp.alps.com,33
jms.id.au,33
hotmail.com,33
gatech.edu,33
diasemi.com,33
debethencourt.com,33
datasoft.com,33
brocade.com,33
apm.com,33
ao2.it,33
annapurnalabs.com,33
igalia.com,32
web.de,31
eclipso.eu,31
denx.de,31
android-x86.org,31
paulk.fr,30
fami-braun.de,30
hughsie.com,24
mediatek.com,23
m4x.org,23
zx2c4.com,22
zankel.net,22
tycho.nsa.gov,22
tuxera.com,22
systec-electronic.com,22
synology.com,22
st.com,22
solarflare.com,22
smartplayin.com,22
poochiereds.net,22
pku.edu.cn,22
partner.samsung.com,22
opteya.com,22
nexus-software.ie,22
netronome.com,22
mvista.com,22
mleia.com,22
lwn.net,22
herbertland.com,22
goldelico.com,22
gibson.dropbear.id.au,22
fromorbit.com,22
finsecur.com,22
ettus.com,22
elettra.eu,22
distanz.ch,22
cs.wisc.edu,22
chirality.org.uk,22
butterbrot.org,22
bmw-carit.de,22
biot.com,22
axis.com,22
Odin.com,22
163.com,22
yahoo.com.au,20
wwwdotorg.org,18
debian.org,18
cypress.com,17
quantatw.com,16
marvell.com,16
wp.pl,15
riseup.net,15
gmx.at,15
cworth.org,15
candelatech.com,15
je-eigen-domein.nl,14
se-eng.com,13
synaptics.com,12
raptorengineeringinc.com,12
posteo.de,12
itdev.co.uk,12
fe80.eu,12
cumulusnetworks.com,12
yhbt.net,11
xes-inc.com,11
xelmo.com,11
whissi.de,11
wanadoo.fr,11
vsis.cz,11
utdallas.edu,11
tuxdriver.com,11
transmode.se,11
tomshardware.fr,11
thejh.net,11
techmunk.com,11
tcd.ie,11
skitlab.ru,11
sigma-star.at,11
sigma-chemnitz.de,11
servergy.com,11
septentrio.com,11
seagate.com,11
schischi.me,11
sang-engineering.com,11
rtschenk.de,11
rsi-elektrotechnik.de,11
rjwysocki.net,11
rit.edu,11
realsil.com.cn,11
raphnet.net,11
rab.in,11
qq.com,11
popple.id.au,11
plaes.org,11
pcs.com,11
parkeon.com,11
ozlabs.ru,11
openvz.org,11
offog.org,11
oetken.name,11
odin.com,11
nobodix.org,11
nicira.com,11
ncrmnt.org,11
monstr.eu,11
memblaze.com,11
math.tu-berlin.de,11
marticonet.sk,11
lynxeye.de,11
lxde.org,11
lwfinger.net,11
kernkonzept.com,11
kernellabs.com,11
kb.kras.ru,11
jwilk.net,11
jolla.com,11
jauu.net,11
incubesol.com,11
ifi.uio.no,11
i2se.com,11
hmbedded.co.uk,11
epfl.ch,11
elisp.net,11
electromag.com.au,11
e2big.org,11
desy.de,11
decadent.org.uk,11
datacom.ind.br,11
das-labor.org,11
csr.com,11
cs.jhu.edu,11
crapouillou.net,11
coreos.com,11
codesourcery.com,11
cmpxchg.org,11
clipper.ens.fr,11
cdac.in,11
caviumnetworks.com,11
canb.auug.org.au,11
bobcopeland.com,11
avionic-design.de,11
atos.net,11
alien8.de,11
alexpilon.ca,11
aepfle.de,11
acm.org,11
ENS.fr,11
linux.org.tw,10
kamp.de,10
jlekstrand.net,10
isagri.fr,10
georgi-clan.de,10
eik.bme.hu,10
animalcreek.com,10
NetBSD.org,10
3adev.fr,9
braap.org,8
vidarholen.net,6
bitplanet.net,6
weilnetz.de,5
varciai.lt,5
public.gmane.org,5
koconnor.net,5
bytenoise.co.uk,5
b1-systems.com,5
ami.com,5
zamaudio.com,4
tls.msk.ru,4
siemens.com,4
dmllr.de,4
br-automation.com,4
aleksander.es,4
qti.qualcomm.com,3
oevsv.at,3
huau-gabriel.fr,3
boundarydevices.com,3
bitland.com.cn,3
agner.ch,3
aether.com,3
workplays.se,2
wisc.edu,2
users.noreply.github.com,2
rutgers.edu,2
rail.com,2
no-log.org,2
maine.edu,2
lauterbach.com,2
koparo.com,2
jacquin.bzh,2
inversepath.com,2
ilande.co.uk,2
gtempaccount.com,2
freebsd.org,2
djasper,2
asus.com,2
ami.com.tw,2
alterapraxis.com,2
wendan.org,1
upv.es,1
sysam.it,1
spreadtrum.com,1
snabb.co,1
sipsolutions.net,1
sina.com,1
rockwellcollins.com,1
reactos.org,1
plantronics.com,1
phytium.com.cn,1
opera.com,1
northern-ridge.com.au,1
neverware.com,1
mips.com,1
mecheye.net,1
mansr.com,1
macltd.com,1
linux-vserver.org,1
laptop.org,1
hadess.net,1
firszt.eu,1
embedded.rocks,1
dresearch-fe.de,1
daynix.com,1
dave.eu,1
cmu.edu,1
calculate.ru,1
brickedbrain.com,1
bellet.info,1
aribaud.net,1
a1ca3aef-8c08-0410-bb20-df032aa958be,1
