Contributor,January 2016
gmx.at,10
ginzinger.com,10
freebox.fr,10
francillon.net,10
fastmail.fm,10
fastmail.com,10
eulerian.com,10
ericsson.com,10
eperm.de,10
electromag.com.au,10
diamand.org,10
dev.mellanox.co.il,10
cyrius.com,10
codethink.co.uk,10
codemonkey.org.uk,10
cirsa.com,10
chronox.de,10
bues.ch,10
bobcopeland.com,10
axtens.net,10
arndnet.de,10
amacapital.net,10
alphalink.fr,10
alliedtelesis.co.nz,10
alien8.de,10
akamai.com,10
ait.ac.at,10
actia.se,10
ZenIV.linux.org.uk,10
Odin.com,10
6wind.com,10
3way.com.ar,10
vivier.eu,9
rwth-aachen.de,7
coreboot.org,7
asus.com,7
yahoo.com,6
monstr.eu,6
hughsie.com,6
georgi-clan.de,6
das-labor.org,6
yahoo.com.au,5
wwwdotorg.org,5
wolfpond.org,5
mozilla.com,5
lacklustre.net,5
kde.org,5
entropy-development.com,5
ens.fr,5
developer.gserviceaccount.com,5
altera.com,5
wytron.com.tw,4
tycoint.com,4
tls.msk.ru,4
nathanrossi.com,4
marples.name,4
crashcourse.ca,4
reactos.org,3
parallels.com,3
emindsoft.com.cn,3
xmw.de,2
secunet.com,2
proxmox.com,2
physik.fu-berlin.de,2
paulk.fr,2
opensource.altera.com,2
nelint.com,2
jsg.id.au,2
fe80.eu,2
eu.citrix.com,2
displaylink.com,2
deviousops.nl,2
aurel32.net,2
aribaud.net,2
4ray.co,2
yandex.ru,1
virtuousgeek.org,1
virtualopensystems.com,1
vdwaa.nl,1
tycho.nsa.gov,1
tigris.de,1
samba.org,1
robwu.nl,1
resnulli.us,1
prevas.dk,1
pqgruber.com,1
pegatroncorp.com,1
ozlabs.org,1
ossystems.com.br,1
naiandei.net,1
kernel.crashing.org,1
jrtc27.com,1
jp.sony.com,1
ithaier.com,1
iro.umontreal.ca,1
igel.co.jp,1
heimpold.de,1
gtempaccount.com,1
gmx.net,1
fuzzie.org,1
faltcom.se,1
exherbo.org,1
excito.com,1
emc.com.tw,1
elsoft.ch,1
djasper,1
congatec.com,1
cococorp.com,1
cbieneman,1
bitland.com.cn,1
andestech.com,1
ami.com.tw,1
alertlogic.com,1
