Contributor,November 2017
tuxera.com,18
ite.com.tw,18
gondor.apana.org.au,18
secunet.com,17
rwth-aachen.de,17
mentor.com,17
lyle.org,17
ideasonboard.com,17
cs.rutgers.edu,17
c-s.fr,17
163.com,17
quantatw.com,16
das-labor.org,16
xmission.com,15
ragnatech.se,15
ozlabs.ru,15
linux-mips.org,15
free.fr,15
ami.corp-partner.google.com,15
aleksander.es,15
x41-dsec.de,14
w1.fi,14
themaw.net,14
solarflare.com,14
schaufler-ca.com,14
rkapl.cz,14
rere.qmqm.pl,14
redpinesignals.com,14
realsil.com.cn,14
popple.id.au,14
partner.samsung.com,14
omnibond.com,14
nod.at,14
mvista.com,14
mendozajonas.com,14
mageia.org,14
mac.com,14
lineageos.org,14
lightnvm.io,14
lge.com,14
k2l.de,14
jabra.com,14
iki.fi,14
hpe.com,14
grenoble-inp.org,14
gnumonks.org,14
docker.com,14
chronox.de,14
bgdev.pl,14
animalcreek.com,14
amazon.com,14
alcatel-sbell.com.cn,14
aj.id.au,14
6wind.com,14
quanta.corp-partner.google.com,13
web.de,12
gerhard-bertelsmann.de,12
ge.com,12
freedesktop.org,12
feralinteractive.com,12
codecoup.pl,12
uni-koblenz.de,11
mit.edu,11
marvell.com,11
cs.cmu.edu,11
bell.net,11
andestech.com,11
acksyn.org,11
1wt.eu,11
ziepe.ca,10
unixzen.com,10
stratus.com,10
sonarnerd.net,10
sequanux.org,10
peak-system.com,10
engestrom.ch,10
digital-domain.net,10
decadent.org.uk,10
ddn.com,10
Netapp.com,10
phenome.org,9
parkeon.com,9
massaru.org,9
sandisk.com,8
mimoja.de,8
hp.com,8
debian.org,8
cypress.com,8
codethink.co.uk,8
citrix.com,8
zenitel.com,7
yandex.ru,7
xs4all.nl,7
welchs.me.uk,7
vaisala.com,7
unisys.com,7
ucw.cz,7
topic.nl,7
techadventures.net,7
taudac.com,7
solcon.nl,7
smile.fr,7
sandeen.net,7
raithlin.com,7
pseudoberries.com,7
ps.hitachi-solutions.com,7
profitbricks.com,7
pp3345.net,7
pinaraf.info,7
phh.me,7
petroskoutoupis.com,7
opensource.cirrus.com,7
okal.no,7
nigauri.org,7
nelint.com,7
myway.de,7
myri.com,7
mizrahi.com.ve,7
mev.co.uk,7
metanate.com,7
math.uni-bielefeld.de,7
math.sci.hokudai.ac.jp,7
mail.parknet.co.jp,7
m4x.org,7
lixom.net,7
krieglstein.org,7
kernel.crashing.org,7
jusst.de,7
inovex.de,7
ice.rwth-aachen.de,7
i2se.com,7
hideep.com,7
haswell-e.nc.xsintricity.com,7
godking.net,7
giassa.net,7
g.ncu.edu.tw,7
freebsd.org,7
free_BSD.org,7
evidence.eu.com,7
esmil.dk,7
endian.se,7
dev.tdt.de,7
dabbelt.com,7
crashcourse.ca,7
comcard.de,7
cmss.chinamobile.com,7
cmpxchg.org,7
caviumnetworks.com,7
cascoda.com,7
canb.auug.org.au,7
brennan.io,7
brainfault.org,7
baidu.com,7
auristor.com,7
angband.pl,7
acul.me,7
acer.com,7
a3f.at,7
twitter.com,6
sonymobile.com,6
outlook.com,6
ossystems.com.br,6
online.net,6
maximintegrated.com,6
htc.com,6
ettus.com,6
dynardo.de,6
dev.carbon-project.org,6
cortland.com,6
braap.org,6
bob131.so,6
tycoint.com,5
tieto.com,5
prevas.dk,5
oblong.com,5
mni.thm.de,5
kaod.org,5
clage.de,5
amsat.org,5
xiaomi.com,4
vidarholen.net,4
tycho.nsa.gov,4
tkos.co.il,4
solid-run.com,4
quietlife.nl,4
phytec.de,4
ni.com,4
koconnor.net,4
elektrobit.com,4
aheymans.xyz,4
3mdeb.com,4
silvair.com,3
qq.com,3
paulk.fr,3
opensource.wolfsonmicro.com,3
intel.corp-partner.google.com,3
infinera.com,3
infineon.com,3
gtri.gatech.edu,3
bwidawsk.net,3
boichat.ch,3
zytor.com,2
weilnetz.de,2
vctlabs.com,2
v3.sk,2
twiddle.net,2
toradex.com,2
szeredi.hu,2
student.tugraz.at,2
semihalf.com,2
scarletltd.com,2
no-log.org,2
mailbox.org,2
limesaudio.com,2
libero.it,2
lairdtech.com,2
iotwrt.com,2
foxmail.com,2
fe80.eu,2
fau.de,2
de.pepperl-fuchs.com,2
xes-inc.com,1
skyportsystems.com,1
sigmadesigns.com,1
seagate.com,1
runbox.com,1
opalkelly.com,1
obsidianresearch.com,1
nokia.com,1
mxic.com.tw,1
monstr.eu,1
microsemi.com,1
metafoo.de,1
mapbox.com,1
lukeshu.com,1
ltec.ch,1
logitech.com,1
keymile.com,1
kamp.de,1
kaa.org.ua,1
jrtc27.com,1
ioeric,1
home.org.au,1
henneke.me,1
hawkmoon.pdx.corp.google.com,1
gmx.com,1
glup.org,1
globaledgesoft.com,1
gibson.dropbear.id.au,1
fh-dortmund.de,1
fedoraproject.org,1
exati.com.br,1
eaton.com,1
displaylink.com,1
cypress.bc.ca,1
cray.com,1
comstyle.com,1
cesnet.cz,1
br-automation.com,1
bitland.corp-partner.google.com,1
be-evil.net,1
au1.ibm.com,1
amarulasolutions.com,1
advancedtelematic.com,1
