Contributor,April 2016
openmailbox.org,46
gmx.net,46
cmss.chinamobile.com,43
phytec.de,41
freescale.com,41
tycoint.com,40
sandeen.net,40
samba.org,40
pmeerw.net,40
parrot.com,40
nwl.cc,40
mansr.com,40
llnl.gov,40
linuxhacker.ru,40
horus.com,40
hale.at,40
codethink.co.uk,40
realtek.com,38
w1.fi,36
mork.no,35
codecoup.pl,35
web.de,34
rasmusvillemoes.dk,32
i2se.com,32
grinn-global.com,32
citrix.com,32
xs4all.nl,31
gdsys.cc,31
zopieux.com,30
yahoo.com,30
wizery.com,30
russell.cc,30
projectara.com,30
pheise.de,30
networkplumber.org,30
microsoft.com,30
linux-m68k.org,30
kpanic.de,30
jsg.id.au,30
grimberg.me,30
gondor.apana.org.au,30
gmx.com,30
csie.org,30
cea.fr,30
axtens.net,30
das-labor.org,25
metanate.com,24
ite.com.tw,24
cn.fujitsu.com,24
decadent.org.uk,23
alphalink.fr,23
spreadtrum.com,22
vittgam.net,21
iki.fi,21
zonque.org,20
wm.jp.nec.com,20
unstable.cc,20
ubnt.com,20
tycho.nsa.gov,20
true.cz,20
solarflare.com,20
rempel-privat.de,20
ramses-pyramidenbau.de,20
physik.fu-berlin.de,20
opengridcomputing.com,20
neuling.org,20
mip-labs.com,20
mailbox.org,20
lynxeye.de,20
linux.it,20
linux-mips.org,20
kdab.com,20
ispras.ru,20
heimpold.de,20
hadess.net,20
garmin.com,20
fujixerox.co.jp,20
fau.de,20
elsoft.ch,20
egauge.net,20
e-labworks.com,20
diegoherranz.com,20
ccbib.org,20
candelatech.com,20
cambrionix.com,20
au1.ibm.com,20
arista.com,20
hughsie.com,19
aleksander.es,19
android.com,18
outlook.com,15
holtmann.org,15
fedoraproject.org,14
wwwdotorg.org,12
siemens.com,12
rwth-aachen.de,12
lxorguk.ukuu.org.uk,12
stratus.com,11
rowland.harvard.edu,11
post.com,11
nordicsemi.no,11
codemonkey.org.uk,11
c0d3.blue,11
apm.com,11
zavadatar.com,10
who-t.net,10
wanadoo.fr,10
ursulin.net,10
uclinux.org,10
ucdavis.edu,10
systec-electronic.com,10
studium.uni-erlangen.de,10
sigmadesigns.com,10
sgl.com,10
semihalf.com,10
sakamocchi.jp,10
renenyffenegger.ch,10
quantatw.com,10
ptsecurity.com,10
profitbricks.com,10
pid1solutions.com,10
piap.pl,10
ozlabs.ru,10
ovn.org,10
opengridcomputing.com.com,10
ono.com,10
odyssee-systemes.fr,10
obsidianresearch.com,10
o2.pl,10
neratec.com,10
neomailbox.ch,10
mokrynskyi.com,10
mm-sol.com,10
mina86.com,10
mentor.com,10
mblankhorst.nl,10
mail.ru,10
maciej.szmigiero.name,10
lzu.edu.cn,10
lloyd.id.au,10
lemote.com,10
kvack.org,10
kolumbus.fi,10
kernelspring.com,10
kempniu.pl,10
jwilk.net,10
jms.id.au,10
itdev.co.uk,10
ikarustech.com,10
hgst.com,10
hcsw.org,10
gtri.gatech.edu,10
gateworks.com,10
gaisler.com,10
g0hl1n.net,10
fr.zoreil.com,10
foxmail.com,10
fivetechno.de,10
eukrea.fr,10
emindsoft.com.cn,10
electromag.com.au,10
duempel.org,10
distroguy.com,10
de.bosch.com,10
dashjr.org,10
crome.org,10
codelabs.ch,10
cmu.edu,10
cloudflare.com,10
chronox.de,10
cfotr.com,10
bytheb.org,10
bwidawsk.net,10
bsch.com.au,10
blackhole.kfki.hu,10
bl4ckb0x.de,10
biot.com,10
apple.com,10
angband.pl,10
analog.com,10
aj.id.au,10
abdsec.com,10
I-love.SAKURA.ne.jp,10
HansenPartnership.com,10
micron.com,9
debian.org,9
mielczarek.org,8
developer.gserviceaccount.com,8
crashcourse.ca,8
nelint.com,7
m4x.org,7
vidarholen.net,6
dell.com,6
t-online.de,5
selfnet.de,5
koconnor.net,5
jlekstrand.net,5
hp.com,5
codesourcery.com,5
c:/oc6/Git/O=INTEL/OU=AMERICAS01/CN=WORKERS/CN=JUSTEN,,5
bitplanet.net,5
watershedschool.org,4
riseup.net,4
prodrive-technologies.com,4
monstr.eu,4
fe80.eu,4
weilnetz.de,3
touchtech.ro,3
steven676.net,3
pmcs.com,3
linux.ewheeler.net,3
freebsd.org,3
chello.at,3
aurel32.net,3
zamaudio.com,2
usherbrooke.ca,2
synaptics.com,2
openedev.com,2
marples.name,2
laposte.net,2
ilande.co.uk,2
hurleysoftware.com,2
hrz.tu-chemnitz.de,2
fr.ibm.com,2
ens-lyon.org,2
devolo.de,2
cmpxchg.org,2
canb.auug.org.au,2
asus.com,2
yifangdigital.com,1
wistron.com,1
wems.co.uk,1
users.sourceforge.jp,1
unex.es,1
umich.edu,1
ubuntu.com,1
transmode.se,1
thejh.net,1
szeredi.hu,1
sysam.it,1
sylvaingarrigues.com,1
reactos.org,1
raspberrypi.org,1
rainbow-runner.nl,1
rab.in,1
quobyte.com,1
provenrun.com,1
printf.net,1
opensource.se,1
ncos.nec.co.jp,1
msweet-retina.local,1
mjdsystems.ca,1
mail.usask.ca,1
mail.parknet.co.jp,1
linux.com,1
kyup.com,1
isagri.fr,1
ijw.co.nz,1
gibson.dropbear.id.au,1
easystack.cn,1
displaylink.com,1
comsoft.de,1
cococorp.com,1
celter21.ntg.de.ferrotec.local,1
buserror.net,1
brocade.com,1
braap.org,1
boichat.ch,1
binghamton.edu,1
behr-iss.de,1
armills.info,1
ao2.it,1
amarulasolutions.com,1
altlinux.org,1
alliedtelesis.co.nz,1
alex.org.uk,1
akamai.com,1
SDF.ORG,1
