Contributor,May 2015
lemote.com,22
kerneldev.net,22
eu.citrix.com,22
dominikbrodowski.net,22
decadent.org.uk,22
coreos.com,22
ccbib.org,22
biot.com,22
axis.com,22
163.com,22
twiddle.net,21
mail.uni-paderborn.de,18
georgi-clan.de,18
users.sourceforge.net,14
apple.com,13
se-eng.com,12
raptorengineeringinc.com,12
gmx.at,12
foxmail.com,12
ethz.ch,12
diasemi.com,12
zoho.com,11
yhbt.net,11
yandex-team.ru,11
xsens.com,11
xiaomi.com,11
wvnet.at,11
wp.pl,11
wireless-instruments.com,11
winsoft.pl,11
wimdewith.com,11
wanadoo.fr,11
vodalys.com,11
vittgam.net,11
users.sourceforge.jp,11
stud.hs-offenburg.de,11
stratus.com,11
sslab.ics.keio.ac.jp,11
slrz.net,11
siteground.com,11
simonwunderlich.de,11
secunet.com,11
schischi.me,11
rtp-net.org,11
rowland.harvard.edu,11
rempel-privat.de,11
redmandi.dyndns.org,11
redhat.com],11
rab.in,11
qlogic.com,11
purestorage.com,11
protonic.nl,11
primarydata.com,11
poochiereds.net,11
ozlabs.ru,11
osandov.com,11
opteya.com,11
open.eurogiciel.org,11
open-mesh.com,11
omicron.at,11
nokia.com,11
networkplumber.org,11
netcourrier.com,11
ncrmnt.org,11
mojatatu.com,11
mm-sol.com,11
meta.ua,11
martingkelly.com,11
macqel.be,11
lynxeye.de,11
lxorguk.ukuu.org.uk,11
lwn.net,11
list.ru,11
linux-iscsi.org,11
licor.com,11
libres.ch,11
laoqinren.net,11
kevlo.org,11
joshtriplett.org,11
jms.id.au,11
jinso.co.jp,11
ispras.ru,11
inspur.com,11
innominate.com,11
imms.de,11
imap.cc,11
icelogic.net,11
hellgate.ch,11
hegerfeld.org,11
hardeman.nu,11
gmx.com,11
gatech.edu,11
gainspeed.com,11
fokus.fraunhofer.de,11
fedoraproject.org,11
enst-bretagne.fr,11
devbase.at,11
deltatee.com,11
dashjr.org,11
cyphar.com,11
crashcourse.ca,11
crapouillou.net,11
codemonkey.org.uk,11
churchofgit.com,11
cgarcia.org,11
cfl.rr.com,11
c-s.fr,11
bytesatwork.ch,11
armadeus.com,11
aristanetworks.com,11
amazon.de,11
amarulasolutions.com,11
Odin.com,11
Mellanox.com,11
Fries.net,11
yahoo.com.au,10
debian.org,10
chown.ath.cx,10
synaptics.com,9
candelatech.com,9
vidarholen.net,8
hughsie.com,7
rainbow-runner.nl,6
ami.com.tw,6
student.tuwien.ac.at,5
sigluy.net,5
oevsv.at,5
mni.thm.de,5
mail.bg,5
dornerworks.com,4
ukr.net,3
st.com,3
openbossa.org,3
neratec.com,3
kcc,3
hellion.org.uk,3
gumstix.com,3
fami-braun.de,3
embedded.rocks,3
djasper,3
zamaudio.com,2
users.noreply.github.com,2
ultimaker.com,2
turtle-solutions.eu,2
plexistor.com,2
kollasch.net,2
kapsi.fi,2
ilande.co.uk,2
huehner.org,2
felixheld.de,2
emc.com.tw,2
eclipso.eu,2
braap.org,2
bq.com,2
beloved.name,2
arcturusnetworks.com,2
adv.bruhnspace.com,2
zytor.com,1
wistron.com,1
very.puzzling.org,1
vectorindia.org,1
tuxfamily.org,1
tls.msk.ru,1
spectrumdigital.se,1
sipsolutions.net,1
sandeen.net,1
rengolin,1
psicontrol.com,1
onelan.co.uk,1
northern-ridge.com.au,1
members.leeds.ac.uk,1
lelong.xyz,1
kodakalaris.com,1
klimek,1
keymile.com,1
grosser,1
gmx.us,1
enea.com,1
efficios.com,1
br-automation.com,1
boichat.ch,1
aribaud.net,1
aleksander.es,1
ahamilto.net,1
adacore.com,1
accelecon.com,1
HARV-WSTEPHEN.(none),1
